,precision,recall,f1-score,support
niacinamide,0.8935969868173258,0.9386745796241345,0.9155812831644959,1011.0
hydrating,0.8522542096686584,0.9804207456779838,0.9118558698179,4801.0
antioxidant,0.844970703125,0.8980280228334199,0.870691823899371,3854.0
retinol,0.8072625698324022,0.9145569620253164,0.857566765578635,316.0
preservative,0.7539756782039289,0.9527186761229315,0.8417754569190601,4230.0
aha_bha,0.9488977955911824,0.7512891709639032,0.8386096967013504,2521.0
emollient,0.7514330380406462,0.8121655871585469,0.7806198403031533,3551.0
solvent,0.6712839637719765,0.7451212300413956,0.7062780269058296,3382.0
micro avg,0.7547900135475131,0.6553992413693763,0.701592074322501,41654.0
texture_stabilizer,0.6477030727106784,0.7014827018121911,0.6735210376463144,3035.0
samples avg,0.741320386717171,0.669790701223762,0.6732731521852683,41654.0
weighted avg,0.695510664606924,0.6553992413693763,0.6566629045697592,41654.0
ceramide,0.8155339805825242,0.534181240063593,0.6455331412103746,629.0
skin_soothing,0.6745283018867925,0.45015739769150054,0.5399622404027691,1906.0
fragrance,0.6006927263730827,0.46265243902439024,0.5227125941872982,2624.0
hyaluronic,0.6604414261460102,0.4039460020768432,0.5012886597938144,1926.0
macro avg,0.5415414526468568,0.44717843427797693,0.4698944621432581,41654.0
2_hexanediol,0.6342465753424658,0.33526430123099205,0.4386546660350545,1381.0
mineral_spf,0.6373165618448637,0.28598306679209784,0.3948051948051948,1063.0
vitamin_c,0.5984555984555985,0.29300567107750475,0.3934010152284264,529.0
colorant,0.6436781609195402,0.14756258234519104,0.24008574490889603,759.0
ph_adjuster,0.5607235142118863,0.1250720461095101,0.20452403393025448,1735.0
probiotic,0.0,0.0,0.0,413.0
peptide,0.0,0.0,0.0,525.0
peg_100_stearate,0.0,0.0,0.0,390.0
titanium_dioxide,0.0,0.0,0.0,366.0
hydroxyacetophenone,0.0,0.0,0.0,370.0
glyceryl_caprylate,0.0,0.0,0.0,337.0
